Rank,Title,Gross Earnings,Number of Theaters,Release Date,Distributor
38,PAW Patrol: The Mighty Movie,65231360,4027,Sep 29,Paramount Pictures
39,Cocaine Bear,64670240,3571,Feb 24,Universal Pictures
40,A Man Called Otto,64228358,3957,Dec 30,Columbia Pictures
41,Napoleon,59830761,3500,Nov 22,Columbia Pictures
42,Wish,58721852,3900,Nov 22,Walt Disney Studios Motion Pictures
43,Shazam! Fury of the Gods,57638006,4071,Mar 17,Warner Bros.
44,Saw X,53607898,3262,Sep 29,Lions Gate Films
45,Aquaman and the Lost Kingdom,52495000,3787,Dec 22,Warner Bros.
46,Air,52460106,3507,Apr 5,-
47,Jesus Revolution,52102987,2575,Feb 24,Lions Gate Films
48,No Hard Feelings,50452282,3208,Jun 23,Sony Pictures Entertainment (SPE)
49,Talk to Me,48299436,2379,Jul 28,A24
50,Gran Turismo,44428554,3856,Aug 25,Sony Pictures Entertainment (SPE)
51,The Boogeyman,43244282,3205,Jun 2,Walt Disney Studios Motion Pictures
52,Godzilla Minus One,42567072,2622,Dec 1,-
53,A Haunting in Venice,42471412,3305,Sep 15,Walt Disney Studios Motion Pictures
54,The Creator,40774679,3680,Sep 29,Walt Disney Studios Motion Pictures
55,80 for Brady,39330588,3939,Feb 3,Paramount Pictures
56,Knock at the Cabin,35397980,3657,Feb 3,Universal Pictures
57,The Boy and the Heron,32623784,2325,Dec 8,GKIDS
58,Missing,32502025,3025,Jan 20,Sony Pictures Entertainment (SPE)
59,Renaissance: A Film by Beyoncé,32379371,2542,Dec 1,-
60,Plane,32111181,3060,Jan 13,Lions Gate Films
61,65,32062904,3405,Mar 10,Sony Pictures Entertainment (SPE)
62,Thanksgiving,31797973,3204,Nov 17,TriStar Pictures
63,Migration,30597075,3837,Dec 22,Universal Pictures
64,The Color Purple,29000000,3203,Dec 25,Warner Bros.
65,My Big Fat Greek Wedding 3,28496030,3678,Sep 8,Focus Features
66,Asteroid City,28153025,1901,Jun 16,Focus Features
67,Magic Mike's Last Dance,26005156,3034,Feb 10,Warner Bros.
68,Strays,23988885,3232,Aug 18,Universal Pictures
69,Priscilla,20864910,2361,Oct 27,A24
70,"Are You There God? It's Me, Margaret.",20372406,3343,Apr 28,Lions Gate Films
71,The Pope's Exorcist,20009380,3178,Apr 14,Screen Gems
72,The Holdovers,17943330,1601,Oct 27,Focus Features
73,The Blackening,17707207,1775,Jun 16,Lions Gate Films
74,Book Club: The Next Chapter,17581565,3513,May 12,Focus Features
75,Pathaan,17487476,697,Jan 25,Yash Raj Films USA Inc.
76,Black Panther: Wakanda Forever,17329414,4396,Nov 11,Walt Disney Studios Motion Pictures
77,Renfield,17297895,3378,Apr 14,Universal Pictures
78,The Blind,17265487,1715,Sep 28,Fathom Events
79,The Covenant,16938039,2631,Apr 21,Metro-Goldwyn-Mayer (MGM)
80,Expend4bles,16710153,3518,Sep 22,Lions Gate Films
81,Champions,16397335,3039,Mar 10,Focus Features
82,Ruby Gillman: Teenage Kraken,15753600,3408,Jun 30,DreamWorks
83,Jawan,15198530,826,Sep 7,Yash Raj Films USA Inc.
84,Titanic25 Year Anniversary,15033795,2464,Feb 10,Paramount Pictures
85,Dumb Money,13925356,2837,Sep 15,Sony Pictures Entertainment (SPE)
86,Animal,13647140,698,Dec 1,-
87,The Last Voyage of the Demeter,13637180,2715,Aug 11,Universal Pictures
88,Anyone But You,13285000,3055,Dec 22,Columbia Pictures
89,Joy Ride,12897789,2820,Jul 7,Lions Gate Films
90,His Only Son,12392740,1930,Mar 31,Angel Studios
91,The Whale,12269350,1721,Dec 9,A24
92,About My Father,12089391,2464,May 26,Lions Gate Films
93,Bottoms,12036071,1265,Aug 25,Orion Pictures
94,After Death,11476750,2730,Oct 27,Angel Studios
95,The Shift,11275203,2450,Dec 1,Angel Studios
96,The Boys in the Boat,11196069,2557,Dec 25,-
97,Saltburn,11113555,1566,Nov 17,Warner Bros.
98,Suzume,10932037,2170,Apr 14,Crunchyroll
99,Past Lives,10923569,906,Jun 2,A24
100,The Machine,10458331,2409,May 26,Sony Pictures Entertainment (SPE)
101,Whitney Houston: I Wanna Dance with Somebody,10451167,3625,Dec 23,TriStar Pictures
102,The Nightmare Before Christmas30th Anniversary Re-Release,10251956,2185,Oct 20,Walt Disney Studios Motion Pictures
103,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806,1774,Mar 3,Crunchyroll
104,The Iron Claw,9917051,2794,Dec 22,A24
105,House Party,9002247,1400,Jan 13,Warner Bros.
106,Radical,8617670,534,Nov 3,Pantelion Films
107,Everything Everywhere All at Once,8410284,2220,Mar 25,A24
108,Beau Is Afraid,7740323,2125,Apr 14,A24
109,The Hill,7665865,1703,Aug 25,Briarcliff Entertainment
110,Silent Night,7547896,1873,Dec 1,Lions Gate Films
111,Poor Things,7292079,800,Dec 8,Searchlight Pictures
112,Sisu,7265622,1006,Apr 28,Lions Gate Films
113,Star Wars: Episode VI - Return of the Jedi2023 Re-release,7259924,475,Apr 28,-
114,Coraline2023 Re-release (remastered),7149366,1469,Aug 14,-
115,Retribution,6937696,1750,Aug 25,Roadside Attractions
116,Journey to Bethlehem,6815714,2002,Nov 10,Affirm Films
117,Next Goal Wins,6713826,2240,Nov 17,Searchlight Pictures
118,Operation Fortune: Ruse de Guerre,6496125,2168,Mar 3,Lions Gate Films
119,BTS: Yet to Come in Cinemas,6350496,1210,Feb 1,Trafalgar Releasing
120,Salaar,6306000,802,Dec 22,-
121,Babylon,6268558,3351,Dec 23,Paramount Pictures
122,Love Again,6230837,2703,May 5,Screen Gems
123,Ferrari,5651701,2330,Dec 25,Neon
124,Dream Scenario,5591254,1578,Nov 10,A24
125,The Fabelmans,5541550,1962,Nov 11,Universal Pictures
126,The Chosen Season 3 Finale,5525069,1979,Feb 2,Fathom Events
127,Nefarious,5433685,933,Apr 14,Soli Deo Gloria Releasing
128,Big George Foreman,5426772,3054,Apr 28,Sony Pictures Entertainment (SPE)
129,Waitress: The Musical,5402148,1214,Dec 7,Bleecker Street Media
130,Tiger 3,5365263,779,Nov 11,Yash Raj Films USA Inc.
131,Women Talking,5321627,707,Dec 23,United Artists Releasing
132,Freelance,5314136,2057,Oct 27,Relativity Media
133,Infinity Pool,5078400,1835,Jan 27,Neon
134,Hocus Pocus30th Anniversary re-release,4929004,1430,Oct 6,Walt Disney Studios Motion Pictures
135,You Hurt My Feelings,4830788,912,May 26,A24
136,Kandahar,4813132,2105,May 26,Open Road Films (II)
137,Golda,4801781,883,Aug 25,Bleecker Street Media
138,It Lives Inside,4675092,2005,Sep 22,Neon
139,Hypnotic,4500169,2118,May 12,Ketchup Entertainment
140,Stop Making Sense2023 Re-release,4403500,786,Sep 22,-
141,Marlowe,4350243,2281,Feb 15,Open Road Films (II)
142,The Amazing Maurice,4303645,1717,Feb 3,Viva Pictures
143,Mummies,4275970,384,Feb 24,Warner Bros.
144,Theater Camp,4009945,555,Jul 14,Searchlight Pictures
145,Ponniyin Selvan: Part Two,3813000,0,Apr 28,-
146,Anatomy of a Fall,3691578,583,Oct 13,-
147,Left Behind: Rise of the Antichrist,3649422,1407,Jan 26,Fathom Events
148,The Journey: A Music Special from Andrea Bocelli,3574915,1074,Apr 2,Fathom Events
149,Chevalier,3541159,1281,Apr 21,Walt Disney Studios Motion Pictures
150,Mafia Mamma,3496761,2002,Apr 14,Bleecker Street Media
151,The Wandering Earth II,3444487,172,Jan 22,Well Go USA Entertainment
152,A Thousand and One,3400020,926,Mar 31,Focus Features
153,Violent Night,3278955,3723,Dec 2,Universal Pictures
154,What Happens Later,3273895,1492,Nov 3,Bleecker Street Media
155,2023 Oscar Nominated Short Films: Live Action,3025631,357,Feb 17,ShortsTV
156,Living,2984305,644,Dec 23,Sony Pictures Classics
157,Jurassic Park2023 Re-release (30th Anniversary),2970355,1224,Aug 25,Universal Pictures
158,The Menu,2779574,3228,Nov 18,Searchlight Pictures
159,Tu Jhoothi Main Makkaar,2503604,400,Mar 8,Yash Raj Films USA Inc.
160,Come Out in Jesus Name,2500574,1047,Mar 13,Fathom Events
161,The Miracle Club,2377438,677,Jul 14,Sony Pictures Entertainment (SPE)
162,A Good Person,2210465,687,Mar 24,United Artists Releasing
163,Moving On,2136832,794,Mar 17,Roadside Attractions
164,Skinamarink,2052272,809,Jan 13,IFC Films
165,Die Hard2023 Re-release,2048453,1355,Dec 8,Twenty First Century Entertainment
166,Jules,1924922,780,Aug 11,Bleecker Street Media
167,Somewhere in Queens,1802442,602,Apr 21,Roadside Attractions
168,The Marsh King's Daughter,1792905,1055,Nov 3,Lions Gate Films
169,Oldboy2023 Re-release,1750719,250,Aug 16,-
170,Winnie the Pooh: Blood and Honey,1750639,1652,Feb 15,Fathom Events
171,Fear,1735359,974,Jan 27,Hidden Empire Film Group (HEFG)
172,Lost in the Stars,1721446,0,Jul 7,CMC Pictures
173,Creation of the Gods I: Kingdom of Storms,1686246,115,Sep 22,Well Go USA Entertainment
174,Polite Society,1595585,927,Apr 28,Focus Features
175,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1588491,1473,Jan 20,Crunchyroll
176,The Banshees of Inisherin,1555301,1205,Oct 21,Searchlight Pictures
177,The Quiet Girl,1500014,244,Feb 24,Neon
178,BlackBerry,1476598,449,May 12,IFC Films
179,Spirited Away2023 Re-release (Live on Stage),1455081,1046,Apr 23,Fathom Events
180,Dicks: The Musical,1453012,635,Oct 6,A24
181,Eileen,1415384,558,Dec 1,-
182,Maybe I Do,1293722,465,Jan 27,Vertical Entertainment
183,The First Slam Dunk,1291869,581,Jul 28,GKIDS
184,Billie Eilish Live at the O2,1290000,600,Jan 27,Trafalgar Releasing
185,The Big Lebowski,1266945,1235,Mar 6,Gramercy Pictures (I)
186,Back to the Future,1240710,1550,Jul 3,Universal Pictures
187,Tár,1193875,1090,Oct 7,Focus Features
188,The Lost King,1189307,753,Mar 24,IFC Films
189,The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),1176085,1107,Apr 13,Fathom Events
190,American Fiction,1126770,40,Dec 15,Metro-Goldwyn-Mayer (MGM)
191,Camp Hideout,1125010,848,Sep 15,Roadside Attractions
192,Strange World,1120039,4174,Nov 23,Walt Disney Studios Motion Pictures
193,Close,1100113,233,Jan 27,A24
194,Emily,1097067,579,Feb 17,Bleecker Street Media
195,Knights of the Zodiac,1090155,588,May 12,-
196,Broker,1001892,271,Dec 23,Neon
197,Showing Up,972074,115,Apr 7,A24
198,Inside,918415,357,Mar 17,Focus Features
199,The Roundup: No Way Out,909411,41,Jun 2,Capelight Pictures
200,The Grinch,857560,4141,Nov 9,Universal Pictures
